fips,slaves,urbanicity,prison_rate,blackpop,prison_type,unemp,mhi,pm,rentburd,gini,singpar
21025,3.815261044176707,rural,555.31,0.6330519768991559,No Prison,9.8,28196,9.4248000307427091,28.9,50,9.594813614262561
21027,17.67905711695376,rural,821.42,2.416870705315536,No Prison,6.2,42347,10.45350496282639,24.7,44.6,7.127252867285637
21029,20.00274386061188,suburban,546.64,1.1802981009306197,No Prison,4.5,54755,11.412741481439186,27.1,36.3,8.930584998421361
21031,9.713636937050586,small/mid,1222.52,0.753272412941467,No Prison,5.9,39545,10.263514120567933,29.1,44.9,7.333465111682151
21033,25.820991629104956,rural,1181.7,6.02287166454892,No Prison,5.6,39355,9.97968693295831,28.7,46.9,6.90480574479838
21035,15.047907211296016,rural,428.12,4.870812678383656,No Prison,4.6,40585,9.724921025592774,35.4,45.9,6.5142115134901175
21037,0.5547850208044383,suburban,924.35,3.309730543718561,No Prison,4.1,51694,11.966242815022358,28.2,41.9,9.363306660526165
21041,15.88628762541806,rural,1883.74,2.2369389256806476,No Prison,5.5,46499,10.951757141645931,26.9,43.1,10.380710659898478
21043,3.6284640676373887,rural,754.37,0.8343810721225283,No Prison,10.1,37204,9.801438246285423,27.7,45.1,7.609746664088184
21045,10.300030931023816,rural,1045.69,0.9949238578680204,No Prison,5.8,33576,9.741233600725726,24.7,48.6,7.380191693290734
21047,46.01192953252878,small/mid,787.32,22.146500455036087,No Prison,6.3,39840,10.278543038265376,29.9,41.7,11.05121293800539
21049,41.466388018112156,small/mid,543.03,4.822103479734133,No Prison,5.2,54812,10.285893998649978,28.6,42.1,8.728390318862852
21051,5.246542393265184,rural,492.17,5.531678913073617,Has Federal,9.7,24001,9.580925676407274,37.2,49.8,8.859280037400655
21053,4.462895692786715,rural,891.04,0.7190870720650304,No Prison,8.4,29178,9.598058707731356,26.8,52.4,7.170827214880078
21055,10.675306957708049,rural,707.84,1.4156786409485047,No Prison,5.6,40202,9.993674912992168,22.7,43.2,6.5552363541394625
21057,19.250681198910083,rural,633.22,2.995616171456405,No Prison,6,30989,9.682583763015897,23.6,48.7,8.030913978494624
21059,22.605955366904624,small/mid,760.1,5.496437054631829,No Prison,4.6,48724,11.187323406975421,29.5,44.5,9.105542141925458
21061,5.877287405812702,small/mid,951.89,2.5340879855930023,No Prison,7,38673,10.262649199571701,27.8,48.4,6.389845094664372
21065,7.36276503049666,rural,920.61,0.46572078414383195,No Prison,6.2,32541,9.644776045128696,32,46.4,9.266535690897184
21067,44.31612018230895,small/mid,592.5,15.027954153382044,No Prison,3.8,51963,10.860135046487805,30.4,46.7,8.40444001182033
21069,16.158219232924974,rural,772.16,1.6856987493202826,No Prison,6.3,47030,9.81007324800555,26.7,44.5,7.564747531209242
21071,2.301189730745147,rural,546.45,1.1989234157083435,No Prison,9.5,30888,9.577393350737568,32.6,50.8,8.494757419584149
21073,26.65826374665196,rural,571.48,12.69956458635704,No Prison,4.2,50471,10.538011874410413,29.5,43.3,9.237956497714372
21075,20.274590934737635,rural,2493.64,25.92875318066158,No Prison,7.7,30798,9.94961251538917,32.7,48.5,12.882298424467098
21077,14.003164556962025,suburban,1229.86,1.524337432877187,No Prison,5.1,47679,10.945880741219309,20.9,42.9,9.062715368711235
21079,33.97588073307378,rural,712.23,2.163721601153985,No Prison,5.2,45018,10.028201821157944,31.1,43.5,7.0719386866399585
21081,8.32934418382001,suburban,1098.28,0.9672386895475819,No Prison,5.3,45307,10.47334527816716,27.7,38.7,10.055045871559633
21083,17.526027228485184,rural,563.05,4.848276454912749,No Prison,6.2,39515,9.910045776908602,31.7,47.5,7.897041978303348
21085,4.397394136807818,rural,906.58,1.627041306436119,No Prison,6.7,37057,10.254479657147291,29.4,45.5,8.180491871613173
21087,26.93617987735635,rural,334.98,2.0535974366443344,No Prison,5.3,36226,10.013214846493943,32,52.9,6.884827879303017
21089,4.1438356164383565,small/mid,831.41,0.9558954294860394,No Prison,7.6,45690,10.84672735233736,28.5,45.7,7.237204182718767
21091,13.165942378882987,small/mid,963.5,1.4267185473411155,No Prison,5,52929,11.12627559105729,21.3,40.2,7.153965785381026
21093,16.656791098821515,small/mid,1008.73,13.703249107659316,No Prison,5,49637,10.63031545472812,26.6,40.6,10.331333159405167
21095,2.31161266836549,rural,632.45,2.354734880569202,No Prison,12.7,27425,9.350181441869223,28.2,52.1,8.216086073282671
21097,23.86965672400029,rural,946.92,2.4171442810864687,No Prison,4.7,47040,10.183864017996912,32.8,41.3,8.300057045065602
21099,13.48086586780054,rural,964.16,5.093856655290102,No Prison,5.1,34764,10.196691454261954,29.6,47.7,7.888905303589895
